id,symbol,autoDeposit,maintMarginReq,riskLimit,realLeverage,crossMode,delevPercentage,openingTimestamp,currentTimestamp,currentQty,currentCost,currentComm,unrealisedCost,realisedGrossCost,realisedCost,isOpen,markPrice,markValue,posCost,posCross,posInit,posComm,posLoss,posMargin,posMaint,maintMargin,realisedGrossPnl,realisedPnl,unrealisedPnl,unrealisedPnlPcnt,unrealisedRoePcnt,entryPrice,liquidationPrice,bankruptPrice,settleCurrency,isInverse,exitPrice,totalProfit,maxProfit,bot
1641760198500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42450.0,52450.0,-1,USDT,False,-1,0,-1000,JesusShort
1641760198500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5294.0,-5294.0,-0.12471142520612485,-1,42450.0,52450.0,-1,USDT,False,42452.0,0.03905944130143338,0.23100117785630153,JesusShort
1641772798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41856.0,31856.0,-1,USDT,False,-1,0,-1000,JesusLong
1641772798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-19622.72,-19622.72,-0.46881498470948013,-1,41856.0,31856.0,-1,USDT,False,41710.0,-0.4297555434080468,0.06157492354740063,JesusLong
1641792598500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42075.0,52075.0,-1,USDT,False,-1,0,-1000,JesusShort
1641792598500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3748.9999999999995,-3748.9999999999995,-0.08910279263220439,-1,42075.0,52075.0,-1,USDT,False,42062.0,-0.5188583360402512,0.3482115270350565,JesusShort
1641806098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41792.0,31792.0,-1,USDT,False,-1,0,-1000,JesusLong
1641806098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-8115.039999999999,-8115.039999999999,-0.19417687595712096,-1,41792.0,31792.0,-1,USDT,False,41761.0,-0.7130352119973722,0.0905666156202144,JesusLong
1641826798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40786.0,30786.0,-1,USDT,False,-1,0,-1000,JesusLong
1641826798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61305.68,61305.68,1.5031059677340264,-1,40786.0,30786.0,-1,USDT,False,41448.0,0.7900707557366542,1.5031059677340264,JesusLong
1641835798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41093.0,51093.0,-1,USDT,False,-1,0,-1000,JesusShort
1641835798500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-41531.16,-41531.16,-1.010662643272577,-1,41093.0,51093.0,-1,USDT,False,41459.0,-0.22059188753592274,0.8801703453142872,JesusShort
1641851098500.0,XBTUSDTM,False,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,True,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41662.0,51662.0,-1,USDT,False,-1,0,-1000,JesusShort
